destination,days,trip_type,travelers,total_cost,transport_cost,accommodation_cost,food_cost,activities_cost
Sydney,17,Budget,3,5189.38,1241.13,1401.11,1135.89,1411.26
Bali,4,Luxury,4,3471.17,1172.25,868.33,1037.3,393.29
Paris,14,Standard,1,2357.18,419.34,727.02,483.11,727.7
Delhi,14,Standard,4,3023.96,811.88,784.08,729.17,698.82
Bali,9,Budget,2,737.07,124.96,285.13,159.22,167.75
Sydney,10,Budget,3,3255.03,1080.23,982.22,811.73,380.84
Tokyo,8,Standard,6,6534.3,2053.04,2417.84,1736.7,326.72
London,18,Standard,6,17790.26,3365.86,4608.49,3536.7,6279.22
Goa,20,Budget,5,4276.49,1160.67,1305.18,831.53,979.11
Vienna,9,Budget,1,638.12,194.27,184.89,96.25,162.71
Berlin,19,Luxury,3,14656.84,4655.5,5279.76,3988.74,732.84
Barcelona,3,Standard,6,2797.59,601.58,1107.62,687.18,401.2
New York,5,Budget,5,2149.84,432.58,554.84,551.65,610.77
Amsterdam,9,Budget,1,804.69,171.3,283.02,230.25,120.12
Kuala Lumpur,15,Luxury,3,7833.66,2554.51,2936.61,1522.43,820.11
Bali,14,Standard,4,5662.74,1321.13,2416.04,1124.91,800.66
Kuala Lumpur,9,Budget,6,1817.25,427.82,751.62,507.21,130.6
Sydney,10,Standard,3,5102.06,1191.24,1502.16,857.04,1551.62
Prague,11,Luxury,4,8225.97,2817.31,2470.72,1847.45,1090.49
Bangalore,19,Budget,1,657.57,133.72,292.83,139.18,91.84
Kuala Lumpur,3,Budget,1,95.95,23.78,42.9,17.88,11.39
London,13,Luxury,3,11690.96,2319.86,4800.63,2578.38,1992.08
Tokyo,13,Standard,1,2219.31,641.74,935.82,441.41,200.34
London,5,Luxury,3,3938.1,865.33,1060.27,1146.3,866.2
Rome,20,Luxury,1,6582.13,1262.55,2358.31,1674.28,1286.99
Sydney,18,Standard,1,3664.43,928.3,1107.27,1097.27,531.6
Prague,7,Budget,3,955.28,266.48,385.23,255.8,47.76
Singapore,13,Budget,1,907.93,165.54,390.15,218.78,133.46
New York,5,Standard,1,1279.87,358.86,377.37,328.7,214.92
Paris,18,Standard,4,11567.61,2582.97,4613.56,2986.07,1385.0
Paris,16,Luxury,6,28466.92,9119.76,10447.66,7476.15,1423.35
Paris,3,Luxury,5,4730.28,927.31,1654.83,1115.4,1032.73
Bangalore,14,Budget,4,1435.72,437.2,534.69,392.05,71.79
Bangalore,5,Standard,4,1348.94,432.47,416.67,280.26,219.53
Kuala Lumpur,5,Budget,2,387.28,112.0,140.97,63.74,70.56
Delhi,4,Standard,3,851.65,178.04,267.85,236.16,169.59
Barcelona,18,Luxury,5,21059.03,4237.95,7840.33,3416.6,5564.15
Sydney,6,Budget,5,2126.75,401.65,561.86,445.59,717.65
Mumbai,17,Luxury,4,6249.88,1777.5,1972.65,1082.83,1416.9
Singapore,19,Standard,4,14820.6,2338.2,4604.06,3417.07,4461.26
Dubai,10,Budget,5,4135.46,781.09,1374.09,1054.24,926.04
Rome,20,Budget,4,5863.89,1717.64,1514.13,1230.38,1401.73
Kerala,7,Standard,2,990.33,182.87,278.57,185.72,343.17
Singapore,10,Budget,5,4996.78,1029.27,2203.45,1302.58,461.48
Dubai,5,Standard,4,2302.9,400.78,733.19,377.15,791.79
Delhi,16,Budget,6,3475.4,1010.41,1198.44,572.31,694.24
Goa,9,Budget,4,1385.45,318.24,517.01,339.8,210.4
Tokyo,12,Luxury,2,6827.79,2298.83,2391.15,1576.58,561.23
Vienna,4,Luxury,1,1093.67,339.25,421.54,258.11,74.78
Paris,13,Budget,5,5922.46,1629.79,2452.4,1467.13,373.14
Berlin,15,Budget,4,4064.38,667.52,1275.38,1124.74,996.73
Tokyo,11,Luxury,4,13961.56,4029.0,4463.06,4055.8,1413.71
Seoul,6,Budget,2,1051.47,278.83,416.73,177.86,178.05
Bangalore,7,Luxury,4,2817.81,664.44,1127.62,741.6,284.16
Barcelona,19,Standard,1,2953.68,632.12,1267.44,615.49,438.64
Prague,11,Budget,3,1655.2,278.5,519.51,484.16,373.03
Agra,17,Luxury,5,8757.43,2283.42,2561.95,2556.55,1355.52
Goa,9,Budget,5,1582.72,467.86,619.08,416.65,79.14
Dubai,13,Luxury,3,11925.47,2030.01,3181.97,3042.73,3670.76
Amsterdam,20,Budget,3,5777.67,1682.74,1538.42,940.18,1616.34
Kerala,3,Budget,6,642.41,196.21,232.35,137.24,76.61
Kerala,5,Luxury,5,3871.93,589.58,1330.91,613.49,1337.95
Rome,11,Budget,1,688.35,158.35,237.86,111.81,180.33
Paris,8,Standard,2,2674.17,407.63,1187.26,418.44,660.84
Bali,13,Standard,4,4748.57,1632.85,1683.94,1160.6,271.19
Mumbai,3,Luxury,5,1591.29,460.49,520.1,414.63,196.06
Berlin,18,Standard,6,17216.98,3537.68,4952.02,3780.07,4947.21
Jaipur,11,Budget,4,1159.96,395.59,443.88,262.49,58.0
Paris,15,Budget,4,4334.66,716.26,1899.04,921.1,798.26
Dubai,4,Luxury,2,2104.41,708.23,890.61,329.93,175.63
Kuala Lumpur,3,Budget,2,156.04,49.12,59.75,39.37,7.8
Tokyo,5,Budget,1,541.39,82.69,143.51,137.38,177.81
Dubai,7,Luxury,6,12053.58,3558.51,4838.5,2491.21,1165.36
Bali,11,Standard,6,6659.53,1333.83,2030.8,1205.94,2088.97
Paris,10,Budget,2,1401.31,398.41,496.15,372.53,134.21
Jaipur,14,Budget,5,2004.28,336.08,818.48,478.01,371.72
Delhi,17,Luxury,5,14557.95,2803.76,4036.54,2215.45,5502.19
Bangkok,4,Standard,2,724.27,165.46,244.44,206.87,107.51
Agra,8,Budget,1,185.4,48.85,75.21,52.06,9.27
London,19,Standard,2,7297.01,2216.71,1920.92,1144.75,2014.63
Bangkok,4,Budget,5,845.07,184.49,302.07,185.09,173.42
Goa,13,Luxury,6,9912.38,2869.97,2835.08,2522.46,1684.89
Hong Kong,5,Luxury,3,4090.28,770.84,1056.0,717.19,1546.24
Amsterdam,8,Budget,1,688.39,176.84,221.11,195.59,94.85
Bangalore,15,Standard,3,2819.38,915.5,1224.1,448.74,231.04
London,10,Budget,1,877.28,236.39,392.37,202.2,46.32
Seoul,16,Standard,2,4279.86,1258.72,1123.33,736.83,1160.99
Kerala,5,Luxury,6,5949.92,1784.52,1523.74,1666.47,975.19
Bangkok,17,Luxury,1,2405.4,632.12,1005.8,393.0,374.48
Prague,19,Budget,5,5160.52,1386.73,1991.04,1384.96,397.8
Vienna,17,Standard,4,11988.36,3585.57,4032.07,2027.68,2343.04
Barcelona,8,Budget,4,2580.88,720.54,939.84,524.99,395.51
Vienna,7,Standard,1,860.67,155.41,257.5,149.84,297.91
Berlin,11,Standard,3,3818.33,973.3,1267.99,1135.41,441.63
Bangkok,13,Standard,4,5280.18,1658.89,2078.76,1215.79,326.74
Kerala,14,Budget,5,2768.71,518.88,871.41,591.99,786.42
Paris,14,Budget,1,863.92,230.02,242.65,191.94,199.31
Berlin,3,Luxury,6,4836.93,1051.17,1339.26,771.52,1674.98
Prague,15,Standard,2,3667.9,1132.86,995.25,1018.24,521.55
Prague,16,Standard,5,6547.23,1939.12,2865.51,1160.07,582.53
New York,10,Budget,6,6478.73,2007.81,2688.84,1152.96,629.12
Kerala,16,Luxury,2,5654.8,1874.98,1771.3,1347.23,661.28
Jaipur,10,Luxury,6,7470.21,1926.99,2523.05,1767.62,1252.54
Bangalore,17,Budget,2,1333.82,345.07,575.27,324.97,88.51
Kerala,8,Standard,3,1494.17,265.74,610.82,363.1,254.5
Agra,9,Standard,3,1581.61,486.69,443.38,311.19,340.34
Dubai,3,Luxury,6,5537.98,1377.83,2220.33,916.19,1023.64
Vienna,17,Luxury,4,15268.91,3685.92,5661.58,3440.75,2480.67
Rome,17,Budget,4,5837.35,1624.12,2269.5,1350.81,592.91
Berlin,7,Luxury,4,7701.35,1434.91,3324.59,1829.14,1112.7
Rome,17,Luxury,2,9777.8,2662.4,2479.87,2745.79,1889.74
Prague,7,Budget,2,977.58,297.43,317.6,156.74,205.8
Kerala,16,Budget,1,631.34,109.0,282.19,174.14,66.01
Singapore,3,Luxury,6,6032.67,1530.9,2221.56,1265.96,1014.25
Barcelona,11,Budget,2,1306.2,336.32,566.85,263.79,139.24
Jaipur,4,Luxury,3,1082.55,260.29,319.27,235.85,267.14
Kerala,9,Standard,4,3227.52,718.05,1181.65,790.22,537.59
Jaipur,19,Budget,1,556.56,190.46,155.69,118.1,92.31
Rome,9,Budget,1,586.82,138.11,240.57,118.78,89.36
Bangalore,18,Budget,3,1433.01,233.78,580.52,312.39,306.32
Tokyo,19,Standard,2,8002.37,1365.18,2535.73,1290.99,2810.48
New York,12,Standard,3,7180.64,2001.96,2382.16,1104.44,1692.08
Jaipur,10,Luxury,1,907.95,171.8,318.78,217.23,200.13
Hong Kong,7,Luxury,3,7063.72,2313.31,2552.43,1823.3,374.67
New York,16,Standard,3,9202.83,1976.75,2460.7,2254.57,2510.82
Paris,18,Luxury,5,22717.0,7316.68,8515.47,5749.0,1135.85
Paris,7,Luxury,4,9666.43,2151.86,2482.78,2654.38,2377.4
Dubai,11,Standard,2,2845.56,916.88,836.32,842.81,249.56
Prague,12,Budget,6,4124.78,1278.56,1381.98,632.62,831.62
Mumbai,10,Budget,2,597.21,165.25,180.11,102.07,149.8
Berlin,6,Standard,2,1161.7,237.52,294.7,333.57,295.9
Bali,6,Standard,1,548.17,112.27,197.8,135.79,102.31
Prague,12,Luxury,6,13457.72,3634.98,5154.41,2372.67,2295.67
Vienna,16,Budget,2,2570.18,471.0,1021.92,417.45,659.81
London,13,Luxury,3,14990.94,3139.47,5445.92,3319.11,3086.44
Delhi,7,Standard,1,425.04,86.7,152.15,74.09,112.1
Agra,19,Luxury,6,10578.99,2315.49,3388.54,2241.89,2633.07
Berlin,9,Standard,3,4357.06,1328.31,1734.92,1075.97,217.85
Bangkok,14,Standard,3,3856.8,1249.61,1488.94,925.42,192.84
Bangalore,14,Luxury,6,10711.36,3514.51,4132.21,2529.07,535.57
Bangalore,7,Luxury,6,5915.05,1927.58,2211.23,1480.49,295.75
Barcelona,17,Budget,2,2384.05,637.5,1071.51,555.85,119.2
Singapore,9,Standard,6,8534.39,1608.9,2330.37,1820.08,2775.04
Jaipur,9,Luxury,3,2954.59,631.75,1228.47,459.59,634.78
Seoul,14,Luxury,4,16785.25,4297.91,5676.88,3536.2,3274.26
Sydney,19,Luxury,4,27154.31,8367.46,8519.68,6622.49,3644.68
Goa,12,Budget,4,1943.7,595.63,722.48,528.41,97.18
Agra,19,Budget,5,2754.58,433.9,952.96,653.15,714.57
Prague,12,Luxury,6,9690.54,2883.1,2885.41,1614.16,2307.87
Mumbai,20,Standard,4,3533.81,1035.8,1299.81,677.04,521.16
Bali,17,Standard,1,1473.76,257.74,650.34,397.47,168.2
Dubai,8,Luxury,6,11659.55,2994.59,4774.61,3307.38,582.98
Sydney,10,Luxury,4,13371.02,4226.96,3664.57,2099.81,3379.69
Hong Kong,11,Standard,1,1917.69,605.82,736.74,479.25,95.88
Singapore,19,Luxury,1,5380.74,1623.09,2094.21,931.32,732.12
New York,15,Standard,5,12359.47,3181.26,4555.55,2929.35,1693.3
Tokyo,11,Luxury,3,11236.43,1785.19,4724.23,1745.17,2981.84
Delhi,7,Budget,3,540.75,90.52,179.36,111.34,159.53
Rome,7,Luxury,2,4244.03,729.52,1820.25,1267.78,426.48
Jaipur,5,Budget,2,301.75,78.08,127.61,78.48,17.58
Seoul,18,Luxury,4,21023.91,6086.3,8115.82,5104.43,1717.36
Bangkok,7,Luxury,3,3615.67,1215.48,1218.43,1000.97,180.78
Amsterdam,13,Standard,5,8741.55,2723.69,3616.84,1963.95,437.08
Sydney,15,Standard,6,17402.74,3746.58,6299.25,2912.81,4444.1
Tokyo,5,Budget,6,3180.49,726.52,909.3,836.64,708.03
Singapore,6,Standard,3,2604.28,477.3,1052.64,667.44,406.9
Singapore,20,Budget,2,4169.79,1121.17,1362.36,666.52,1019.74
Paris,17,Standard,3,6800.99,1363.61,1701.65,1182.29,2553.44
Tokyo,6,Budget,1,645.19,135.28,269.68,171.57,68.66
Agra,13,Standard,3,1981.5,641.23,877.1,306.53,156.63
Bali,18,Luxury,5,13217.76,2707.57,5905.64,2794.24,1810.32
Bangkok,4,Luxury,5,3996.87,759.69,1693.17,1028.15,515.86
Jaipur,14,Luxury,3,5299.1,1551.01,2136.23,1346.9,264.96
New York,14,Budget,5,7479.59,2476.36,3304.39,1324.87,373.98
Delhi,16,Budget,1,440.21,115.19,129.91,76.65,118.45
Singapore,4,Standard,3,1963.66,681.14,549.66,431.4,301.47
Jaipur,17,Standard,6,7059.59,2273.36,2865.98,1100.89,819.35
Singapore,11,Luxury,1,2758.65,470.51,1004.65,421.4,862.09
Singapore,3,Standard,2,908.44,296.61,242.1,248.62,121.11
Singapore,4,Luxury,6,6357.09,1675.14,2465.87,1716.97,499.1
Tokyo,14,Standard,1,2455.17,671.05,914.77,478.33,391.02
Prague,17,Standard,3,5196.08,1282.81,1985.76,1210.43,717.09
Bangkok,5,Standard,1,386.69,114.06,142.55,95.72,34.35
Hong Kong,16,Budget,4,4448.95,1329.6,1887.99,956.74,274.63
Kerala,8,Standard,2,1028.25,265.8,358.5,166.81,237.13
Kerala,17,Luxury,1,3208.97,1020.74,914.04,943.81,330.38
Seoul,6,Budget,4,1286.42,379.56,446.82,361.5,98.54
Tokyo,9,Standard,2,3978.8,1386.32,1220.58,811.17,560.73
New York,20,Budget,5,9061.66,2656.56,3912.88,1603.48,888.73
Prague,16,Standard,2,3050.99,568.08,1284.09,682.94,515.88
Singapore,17,Budget,6,5425.06,1457.12,1533.69,1132.01,1302.25
Hong Kong,5,Standard,5,4141.12,628.65,1522.62,993.07,996.79
London,17,Budget,3,4237.19,915.99,1439.61,1061.03,820.57
Barcelona,7,Budget,4,2252.69,602.77,990.55,423.23,236.14
Singapore,13,Budget,5,5592.98,1713.45,2187.29,1213.43,478.81
Delhi,8,Luxury,4,3032.59,782.35,778.88,903.72,567.63
Barcelona,7,Luxury,4,7442.9,1450.92,2128.69,1215.3,2647.99
Paris,16,Budget,4,4753.14,853.99,2126.2,1401.07,371.87
Berlin,4,Standard,1,545.98,131.55,192.79,121.93,99.7
Prague,15,Standard,4,5680.66,1652.71,1649.5,1425.93,952.52
Jaipur,3,Budget,5,522.43,96.87,202.98,144.04,78.54
Berlin,20,Standard,2,4681.95,1280.84,1984.12,1103.03,313.96
Prague,10,Luxury,1,2098.49,405.29,801.16,438.75,453.29
Dubai,4,Budget,2,659.71,178.78,206.9,184.7,89.34
Hong Kong,11,Budget,5,5806.62,1891.23,1920.99,1155.84,838.56
Bangkok,8,Luxury,2,2734.16,826.97,1119.81,588.77,198.62
Berlin,9,Budget,1,682.34,185.57,247.48,141.29,108.0
Hong Kong,19,Budget,1,1260.82,301.19,318.9,300.15,340.58
Rome,16,Standard,2,4481.87,1127.76,1921.09,1208.93,224.09
Bali,14,Budget,5,3915.65,899.68,1433.26,900.76,681.95
Delhi,18,Luxury,6,17058.91,4337.17,7070.56,3661.34,1989.84
Goa,17,Luxury,1,3119.6,876.42,1017.04,560.2,665.95
Vienna,4,Standard,6,2327.7,481.77,724.98,629.53,491.41
New York,6,Standard,6,7093.79,2080.11,2160.24,1504.11,1349.33
Hong Kong,13,Standard,4,8451.51,2466.23,2293.53,1986.92,1704.83
Amsterdam,9,Standard,6,6479.16,1684.87,1676.05,1587.22,1531.02
Vienna,11,Luxury,2,6148.69,1427.76,2569.98,1752.4,398.55
Goa,7,Budget,4,902.21,184.92,373.99,192.68,150.63
Amsterdam,20,Budget,3,4198.55,1122.36,1190.72,1093.85,791.61
Tokyo,19,Budget,6,13561.38,2098.32,5131.55,3269.16,3062.35
Berlin,11,Standard,6,7270.05,1296.65,2216.7,1741.59,2015.11
Jaipur,12,Luxury,6,8851.99,2117.03,3495.68,1348.81,1890.48
Seoul,6,Standard,2,1719.42,523.61,520.95,424.34,250.52
London,11,Luxury,1,3375.61,659.36,1083.57,541.49,1091.19
Bangalore,7,Standard,4,2028.73,661.4,771.27,466.49,129.57
New York,8,Standard,2,2453.17,842.55,923.56,564.4,122.66
Tokyo,10,Luxury,6,22758.73,4211.74,8830.41,4099.76,5616.82
Goa,18,Standard,4,5825.67,1278.82,2231.13,1568.95,746.77
Goa,15,Standard,4,5423.03,1077.73,2084.13,889.05,1372.12
Singapore,10,Standard,1,1671.92,454.26,587.46,290.74,339.47
Mumbai,20,Budget,5,2683.07,905.25,967.95,525.42,284.46
Agra,6,Standard,2,578.5,146.44,251.0,129.9,51.16
Singapore,12,Budget,4,3587.37,1087.77,1415.23,905.0,179.37
Goa,16,Luxury,1,3007.86,645.2,765.74,520.57,1076.35
New York,16,Standard,4,14167.56,3754.87,4900.15,2791.85,2720.7
Mumbai,16,Budget,6,2931.94,926.1,919.18,858.82,227.83
Bangkok,15,Budget,5,2972.77,746.82,881.46,481.57,862.91
Prague,16,Budget,4,2695.19,641.19,730.75,663.35,659.89
Berlin,4,Standard,4,1542.06,405.39,444.66,280.29,411.72
Berlin,17,Standard,1,1561.83,368.7,443.77,251.76,497.61
Mumbai,9,Luxury,4,5305.72,1038.75,1573.3,971.59,1722.09
Agra,9,Standard,2,1082.02,190.59,462.37,235.3,193.76
New York,16,Luxury,5,34007.39,6791.82,9411.91,7236.33,10567.32
Bangkok,12,Luxury,2,3781.35,710.66,1413.43,750.69,906.57
Jaipur,20,Budget,5,2993.11,514.66,1076.3,652.97,749.19
Agra,6,Luxury,2,1304.27,280.33,518.41,288.77,216.76
Barcelona,8,Budget,2,1167.86,398.32,475.76,230.43,63.35
Paris,18,Standard,5,13919.37,2865.63,6069.73,2616.27,2367.74
Rome,13,Budget,2,1672.5,326.79,715.63,363.92,266.15
Vienna,7,Luxury,4,4919.26,1241.84,1899.06,768.64,1009.72
Hong Kong,13,Luxury,1,3659.24,765.91,1170.74,974.08,748.51
Sydney,13,Luxury,2,11183.53,1897.61,4272.79,2959.79,2053.35
Amsterdam,17,Standard,4,10466.25,2046.87,4659.55,2617.64,1142.19
New York,6,Budget,6,3732.7,754.54,984.88,1097.32,895.97
Kuala Lumpur,20,Standard,2,2529.72,871.84,933.28,598.11,126.49
Goa,13,Standard,2,2369.49,515.73,1032.19,435.26,386.31
Hong Kong,16,Luxury,4,17056.33,3492.42,7430.82,4287.92,1845.17
Kerala,19,Standard,5,7179.36,1487.43,2966.44,2004.52,720.98
Bangalore,17,Budget,2,968.42,324.85,375.56,219.59,48.42
Kuala Lumpur,13,Luxury,1,1985.31,670.0,513.47,346.88,454.96
Bali,20,Luxury,3,10112.8,2353.08,4061.67,2644.63,1053.41
New York,9,Luxury,4,12369.28,3429.48,4975.22,2152.39,1812.18
Amsterdam,18,Standard,1,2918.35,599.96,842.79,822.89,652.71
Tokyo,12,Luxury,5,22076.13,6548.1,8238.75,3934.05,3355.24
Barcelona,11,Budget,4,3632.97,1155.26,1513.26,550.96,413.49
Hong Kong,13,Standard,3,6317.76,2011.54,2173.71,1423.44,709.07
London,6,Luxury,4,6899.55,1225.12,2639.83,1036.88,1997.73
Sydney,12,Budget,6,7529.21,1380.68,2155.34,1567.21,2425.97
Bangalore,9,Luxury,4,6394.87,1092.42,1887.05,1633.52,1781.89
Seoul,4,Standard,6,3157.95,982.12,959.91,864.51,351.42
Bangalore,16,Luxury,3,6548.45,1975.29,2519.38,1726.36,327.42
Kerala,6,Budget,6,1342.1,289.41,452.03,219.15,381.52
Agra,17,Budget,3,1101.51,203.44,415.83,247.21,235.03
Delhi,17,Luxury,6,16543.36,5425.75,6223.79,4066.65,827.17
Goa,12,Budget,2,1033.69,276.16,379.67,263.23,114.63
Vienna,12,Luxury,3,8159.12,1924.99,3463.92,2254.28,515.92
Dubai,12,Budget,5,4772.81,763.5,2056.04,1366.97,586.29
Seoul,6,Budget,6,3059.8,494.02,902.78,519.25,1143.74
Hong Kong,6,Luxury,5,8194.02,1633.85,3533.68,1535.82,1490.67
Goa,12,Standard,1,831.49,253.89,218.74,185.53,173.32
Seoul,20,Luxury,2,7361.3,1568.24,2976.7,1199.62,1616.74
Delhi,13,Standard,4,4067.91,714.32,1734.67,850.26,768.66
Prague,7,Standard,2,1101.67,239.78,343.43,321.75,196.7
Prague,11,Budget,1,600.39,108.22,177.15,112.66,202.36
Sydney,3,Standard,1,621.98,191.78,223.77,150.48,55.95
Mumbai,4,Standard,1,157.77,37.19,43.89,39.38,37.31
Hong Kong,12,Standard,2,3769.05,1130.17,1161.31,1010.28,467.29
Bangkok,12,Luxury,3,6727.04,1078.96,2739.63,1212.24,1696.21
Sydney,6,Budget,6,3603.46,657.0,1085.0,1052.2,809.27
Rome,19,Standard,2,4651.82,758.44,1594.58,1332.2,966.6
Paris,5,Standard,6,3957.73,908.21,1063.37,855.51,1130.65
Berlin,10,Standard,4,3266.42,1007.92,1193.94,800.88,263.68
Kuala Lumpur,17,Budget,6,2917.16,843.59,1192.11,576.18,305.29
New York,5,Budget,3,1526.49,313.51,681.89,261.19,269.9
Paris,10,Luxury,5,16759.05,3563.52,6866.49,4946.66,1382.38
Kerala,14,Budget,3,1823.06,457.66,808.39,387.7,169.31
Kuala Lumpur,15,Budget,2,862.73,131.58,312.27,197.66,221.22
Hong Kong,7,Standard,3,3231.35,605.82,1362.45,881.71,381.37
Jaipur,14,Standard,1,1005.96,243.29,323.48,225.47,213.72
New York,18,Standard,5,17681.21,3051.58,4728.59,4559.31,5341.74
New York,11,Standard,3,8199.22,2297.66,3068.03,1663.26,1170.26
Dubai,17,Luxury,3,13589.59,3761.98,3740.57,3416.78,2670.25
Tokyo,10,Luxury,4,12061.42,3389.94,5407.72,1940.69,1323.07
New York,17,Standard,6,21941.68,4872.71,5786.05,5802.99,5479.94
Bali,16,Standard,4,6062.94,1865.5,2322.09,1146.16,729.19
Paris,4,Standard,6,3864.16,935.4,1634.2,896.47,398.08
New York,16,Luxury,3,17658.25,5261.82,7656.89,3390.48,1349.06
Goa,16,Budget,3,1893.93,578.12,715.05,506.06,94.7
Vienna,16,Luxury,1,4714.53,972.63,2001.56,786.79,953.55
Bangkok,6,Budget,1,221.04,43.85,55.81,48.7,72.68
Hong Kong,13,Standard,5,8756.26,2614.96,2273.37,2499.34,1368.59
Rome,11,Standard,5,6466.69,1737.24,2770.72,1149.77,808.95
Kuala Lumpur,19,Budget,6,3016.83,928.68,1100.15,750.66,237.35
Goa,5,Budget,4,740.5,128.1,199.02,212.11,201.27
London,19,Luxury,2,12505.8,3170.09,4203.02,2470.42,2662.27
Prague,17,Standard,1,1759.74,383.91,497.94,308.99,568.9
Bali,8,Luxury,4,6261.04,1786.18,1730.17,1159.09,1585.6
Prague,5,Budget,6,1769.92,358.47,538.61,391.04,481.8
Barcelona,10,Budget,6,4133.52,919.17,1423.99,648.33,1142.02
Rome,12,Luxury,1,3267.08,784.4,1125.82,795.14,561.73
Mumbai,18,Luxury,5,14824.84,3815.94,6238.69,2333.79,2436.41
Rome,3,Luxury,2,1502.84,364.55,507.52,274.68,356.09
Amsterdam,11,Luxury,1,3012.51,942.92,1071.23,847.74,150.63
Kuala Lumpur,9,Budget,5,1776.69,506.51,460.11,386.59,423.48
Mumbai,3,Budget,4,391.28,111.2,118.02,98.28,63.77
Paris,9,Budget,4,3030.45,952.29,758.56,743.86,575.75
Kuala Lumpur,15,Standard,1,1303.92,225.45,426.08,284.82,367.58
Jaipur,17,Budget,4,2314.43,601.56,995.35,487.5,230.02
Kerala,11,Luxury,2,4167.54,926.79,1536.71,631.46,1072.58
Jaipur,11,Luxury,1,1549.11,280.18,440.52,380.59,447.82
Bali,8,Standard,3,1789.43,272.6,598.4,347.61,570.82
Paris,15,Luxury,2,9146.56,3036.9,3764.76,1668.4,676.49
Hong Kong,8,Luxury,4,11849.64,2734.65,3146.35,2741.77,3226.86
